episode,t,clean_reward,noisy_reward,env_reward,clean_keypoint_mse,noisy_keypoint_mse,masked_noisy_keypoint_mse,visibility_frac
0,0,0.9986496442592814,0.9986496442592814,1.0766201693566595,1.930383405124303e-05,1.930383405124303e-05,1.7231219317181967e-05,0.5714285969734192
0,1,0.9937977536514648,0.9978135992034832,1.0745194916526948,8.88794384081848e-05,3.12684933305718e-05,3.806968015851453e-05,0.7142857313156128
0,2,0.9934147097537189,0.9971351513874168,0.9533510009098785,9.43866980378516e-05,4.098514546058141e-05,2.6597183023113757e-05,0.5714285969734192
0,3,0.995575838553183,0.995575838553183,0.9677090565670434,6.334252975648269e-05,6.334252975648269e-05,7.38996168365702e-05,0.8571428656578064
0,4,0.9979946073454635,0.9979959637696405,1.0026469210660403,2.8677230147877708e-05,2.865781425498426e-05,3.3284075470874086e-05,0.8571428656578064
0,5,0.9982328004531537,0.9982328004531537,1.029859334061411,2.526804200897459e-05,2.526804200897459e-05,2.526804200897459e-05,1.0
0,6,0.995777380854799,0.9937984136818768,1.0098496259890946,6.045084955985658e-05,8.886994328349829e-05,3.2417727197753266e-05,0.7142857313156128
0,7,0.9887258692621392,0.9861761642247319,0.8839758573891605,0.00016197378863580525,0.00019886107475031167,5.438850348582491e-05,0.5714285969734192
0,8,0.9763993084951609,0.9720585721231346,1.0294316105342853,0.0003411949728615582,0.00040484595228917897,3.3025050925061805e-06,0.4285714328289032
0,9,0.9576340583931204,0.9516140642640804,1.0453937161884685,0.0006184222875162959,0.0007085102843120694,2.83704066532664e-05,0.5714285969734192
0,10,0.9385056203072041,0.9385056203072041,0.9501321465591298,0.0009066633647307754,0.0009066633647307754,0.0009066633647307754,1.0
0,11,0.9344886271988068,0.9344886271988068,1.1110374102079477,0.000967940257396549,0.000967940257396549,0.0009679403156042099,1.0
0,12,0.9366540274586737,0.9366400703300166,1.2869500447806506,0.0009348756866529584,0.0009350885520689189,0.0010905844392254949,0.8571428656578064
0,13,0.945580940876746,0.9454436193074786,1.1579601655879275,0.000799368426669389,0.0008014431223273277,0.0011134882224723697,0.7142857313156128
0,14,0.9578510517279033,0.9483029272314804,1.0839638356722652,0.0006151855923235416,0.000758304086048156,3.222799932700582e-05,0.7142857313156128
0,15,0.9596365962685047,0.9593162203030934,1.3593173100610845,0.0005885801510885358,0.0005933502689003944,3.517779987305403e-05,0.7142857313156128
0,16,0.9551604124548406,0.9552147395788734,1.0808201712318541,0.0006553711136803031,0.0006545586511492729,0.0009153837454505265,0.7142857313156128
0,17,0.9603397465477779,0.9589755299909262,1.0802933403623363,0.0005781164509244263,0.000598424521740526,0.0005816478515043855,0.5714285969734192
