episode,t,clean_reward,noisy_reward,env_reward,clean_keypoint_mse,noisy_keypoint_mse,masked_noisy_keypoint_mse,visibility_frac
0,0,0.9992183981718951,0.8969221278956,1.1577501709671911,1.1170106517965905e-05,0.0015540890162810683,0.0015540890162810683,1.0
0,1,0.9968140270857802,0.8952417460251432,1.0729612307235858,4.558655564323999e-05,0.0015808785101398826,0.0015808783937245607,1.0
0,2,0.9935709611120583,0.8959817875927655,1.010888734953871,9.213991870637983e-05,0.0015690743457525969,0.001569074229337275,1.0
0,3,0.9899749651821552,0.8974309426071875,1.005784786440211,0.0001439374900655821,0.0015459873247891665,0.0015459872083738446,1.0
0,4,0.9857564745429914,0.8988081056727631,1.018354907470216,0.00020494195632636547,0.0015240816865116358,0.0015240816865116358,1.0
0,5,0.9806015913589615,0.899485139941098,1.0121089870698254,0.0002798432542476803,0.0015133250271901488,0.001513324910774827,1.0
0,6,0.9760015816368519,0.9009202937685221,1.0064674237048352,0.0003470153023954481,0.0014905499992892146,0.0014905498828738928,1.0
0,7,0.9776043281308074,0.9044068208708911,1.029778604389562,0.00032357516465708613,0.0014353713486343622,0.0014353713486343622,1.0
0,8,0.9792531806871853,0.906494292544465,0.9335600112398287,0.0002995008253492415,0.001402436406351626,0.001402436406351626,1.0
0,9,0.9780163183801504,0.9024072291206804,0.8491904844059653,0.0003175560268573463,0.0014669912634417415,0.0014669912634417415,1.0
0,10,0.9766676605741808,0.8977820964705846,0.7951641698509899,0.0003372693026904017,0.001540398458018899,0.001540398458018899,1.0
0,11,0.9779762874001277,0.8972029743132172,0.7724390008737599,0.0003181407228112221,0.0015496165724471211,0.0015496165724471211,1.0
0,12,0.9796716457854818,0.8976208726550002,0.748759107614875,0.0002933974319603294,0.0015429641352966428,0.0015429641352966428,1.0
0,13,0.9807344403497614,0.8967325544838896,0.7060273987240194,0.00027790796593762934,0.0015571089461445808,0.001557108829729259,1.0
0,14,0.9812819989821483,0.8940076338289289,0.6602093970351485,0.00026993430219590664,0.0016005850629881024,0.0016005851794034243,1.0
0,15,0.9811939838914864,0.8890979200820082,0.6171417788925386,0.0002712156856432557,0.0016792557435110211,0.0016792557435110211,1.0
0,16,0.980093069126513,0.882262167708801,0.5868862557929931,0.00028725346783176064,0.001789514790289104,0.0017895146738737822,1.0
0,17,0.9775915316292676,0.8738678661615432,0.5720924708974262,0.000323762244079262,0.001926087075844407,0.001926087075844407,1.0
0,18,0.9739029561713363,0.8640766838281837,0.5632005819149277,0.00037776591489091516,0.0020870536100119352,0.0020870536100119352,1.0
0,19,0.9692214204192049,0.8531482248815653,0.560603132632995,0.00044660267303697765,0.002268885960802436,0.0022688854951411486,1.0
0,20,0.9638699393416643,0.841448463176101,0.5637435782615796,0.0005256988224573433,0.0024661500938236713,0.0024661500938236713,1.0
0,21,0.9577143163376034,0.8289251792884441,0.5639035995322239,0.0006172250723466277,0.0026803624350577593,0.002680362667888403,1.0
0,22,0.9510658092117923,0.8158809494071954,0.5671190962425625,0.0007167430594563484,0.002906954614445567,0.002906954614445567,1.0
0,23,0.9432795316145821,0.8018647284613692,0.5627428050174593,0.0008341802167706192,0.0031545052770525217,0.003154505044221878,1.0
0,24,0.9359308162054163,0.7881821624148692,0.5757022311326793,0.0009459102293476462,0.003400372341275215,0.0034003721084445715,1.0
0,25,0.9270206642004937,0.7733372785327229,0.5655604885866377,0.0010825631907209754,0.003671999555081129,0.0036720000207424164,1.0
0,26,0.9203735887115503,0.7603946608309013,0.5960703714390951,0.001185365952551365,0.00391310965642333,0.00391310965642333,1.0
0,27,0.9123163064273082,0.7464839519466062,0.5854133392800948,0.0013109788997098804,0.004176874179393053,0.004176873713731766,1.0
0,28,0.9049287222966922,0.7332276434645992,0.5982762958790679,0.001427129958756268,0.004432843532413244,0.004432843532413244,1.0
0,29,0.8970336505590383,0.7197737081312408,0.5976795463404798,0.001552312751300633,0.004697405733168125,0.004697405733168125,1.0
0,30,0.888518905126412,0.705948638970074,0.5973864169499508,0.00168856221716851,0.004974468611180782,0.004974468611180782,1.0
0,31,0.8792673753106789,0.6917140672874349,0.5931722484148705,0.0018380890833213925,0.005265465937554836,0.005265465937554836,1.0
0,32,0.8691499248025156,0.6768602138560842,0.5930840324897622,0.0020034234039485455,0.005575578659772873,0.005575578659772873,1.0
0,33,0.8582097322692246,0.6616488821972738,0.5886043079997084,0.0021843824069947004,0.00590028939768672,0.00590028939768672,1.0
0,34,0.8460278141621087,0.644129999099015,0.5707280778830172,0.0023886149283498526,0.006283637601882219,0.006283638533204794,1.0
0,35,0.83205869287963,0.6251089242621553,0.5570469961558318,0.0026264614425599575,0.006711848545819521,0.006711848080158234,1.0
0,36,0.8153361681352659,0.6048993228417543,0.5432299655962217,0.0029164967127144337,0.007181331980973482,0.007181331980973482,1.0
0,37,0.7979873504743825,0.5847654820719803,0.5390720627687557,0.003223750740289688,0.007664919830858707,0.007664919830858707,1.0
0,38,0.779915355789075,0.5644525435568032,0.538513862109546,0.0035509984008967876,0.008169985376298428,0.008169985376298428,1.0
0,39,0.7617241554618371,0.5446350576278589,0.5426840528720832,0.0038881541695445776,0.008680561557412148,0.008680561557412148,1.0
0,40,0.7437093225238266,0.5255282267338047,0.5521327084489176,0.0042300717905163765,0.009190733544528484,0.009190733544528484,1.0
0,41,0.7282739408074094,0.509275992454107,0.5517347955277956,0.004529685713350773,0.009639502502977848,0.009639502502977848,1.0
0,42,0.715177994590799,0.49548688685156766,0.5576264905053083,0.004788911901414394,0.010031634010374546,0.010031634010374546,1.0
0,43,0.7026716214977972,0.4825314873012348,0.5521164059956204,0.005040937103331089,0.010410129092633724,0.010410130023956299,1.0
0,44,0.6902337154038245,0.4698896925700256,0.5524754156033578,0.0052960715256631374,0.010789389722049236,0.010789389722049236,1.0
0,45,0.6773257168253781,0.4570865600542216,0.5455514537020005,0.005565757863223553,0.011184035800397396,0.011184035800397396,1.0
0,46,0.6635193725033169,0.443732611070048,0.5399342318530849,0.005859960336238146,0.01160761620849371,0.01160761620849371,1.0
0,47,0.6490442556836076,0.430062238413894,0.5331090570457606,0.006175063084810972,0.01205464918166399,0.01205464731901884,1.0
