condition,n_alignment,pearson_mean,pearson_sd,spearman_mean,spearman_sd,mean_clean_reward,mean_noisy_reward,mean_visibility_frac
bias_feet_0.05,3,0.993455784456967,0.001918434877667335,0.9710924997116184,0.029539624455205367,0.7924574698134133,0.7395587115518353,1.0
bias_feet_0.10,3,0.9847077699290585,0.0009113656853893094,0.9665541502889976,0.037716176351717874,0.6283887946428158,0.5269517917923237,1.0
clean,3,1.0,0.0,1.0,0.0,0.6256771312759889,0.6256771312759889,1.0
dropout_hold_p_0.10,3,0.9999880341816872,1.586133679268021e-05,0.9998847508139369,7.512783511982328e-05,0.6200388276833538,0.6199125581362753,0.9004492421320149
dropout_hold_p_0.30,3,0.9998946145687553,0.0001509365135739237,0.9989569538677657,0.0010469954015938723,0.6551791325540863,0.6549859174206881,0.6988319996455431
dropout_masked_p_0.30,3,0.8785493554619643,0.013751250042577193,0.8914707084206738,0.027114178937541877,0.6458028463336043,0.8780096092784554,0.6988319996455431
dropout_zero_p_0.30,3,0.28895910389488627,0.015147131858664328,0.3589786376235851,0.059760345662215296,0.5809270310645314,0.12494849976408873,0.6988319996455431
jitter_sigma_0.05,3,0.9485412066190233,0.03899683474259049,0.8245749763343913,0.09778780206930804,0.7050451906888368,0.5969736804717273,1.0
jitter_sigma_0.10,3,0.857226666373852,0.009662826839282055,0.8003523550614311,0.002213681616008914,0.5767696636127781,0.3028983096655414,1.0
