condition,env,reference,policy_path,seed,episodes,alpha,noise_type,jitter_sigma,dropout_p,dropout_mode,use_masked_reward,bias_magnitude,bias_axis,bias_target,reward_type,huber_delta,n_samples,pearson_r,pearson_p,spearman_r,spearman_p,mean_clean_reward,mean_noisy_reward,mean_clean_keypoint_mse,mean_noisy_keypoint_mse,mean_masked_noisy_keypoint_mse,mean_visibility_frac,result_dir,clean_reward_std,noisy_reward_std,clean_reward_min,clean_reward_max,noisy_reward_min,noisy_reward_max,frac_noisy_reward_lt_0.05,frac_noisy_reward_lt_0.10,frac_noisy_reward_gt_0.90
dropout_hold_p_0.10,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_dropout_hold_p_0.10_seed1/policy.zip,1,5,5.0,dropout,0.0,0.1,hold,False,0.0,0,none,squared,0.05,5000,0.9999950444952972,0.0,0.9999923188471008,0.0,0.8086997379252816,0.8086397869883835,0.006085401431925,0.0060879437823106,0.0060630379785494,0.89795,results/hopper_dropout_hold_p_0.10_seed1,0.1628037475094187,0.1628415534890284,0.1427629975939978,0.9999909446581384,0.1416789179041584,0.9999909446581384,0.0,0.0,0.3652
dropout_masked_p_0.30,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_dropout_masked_p_0.30_seed0/policy.zip,0,5,5.0,dropout,0.0,0.3,mask,True,0.0,0,none,squared,0.05,5000,0.7983667559893914,0.0,0.6320383595571057,0.0,0.8016806138760431,0.942356733019896,0.0063920981565183,0.0063920981565183,0.0063337519160224,0.70755,results/hopper_dropout_masked_p_0.30_seed0,0.16544500724042477,0.0756161405796014,0.1174511038380533,0.9999910300327736,0.354268500896142,1.0,0.0,0.0,0.8262
dropout_masked_p_0.30,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_dropout_masked_p_0.30_seed1/policy.zip,1,5,5.0,dropout,0.0,0.3,mask,True,0.0,0,none,squared,0.05,5000,0.7707335658127277,0.0,0.6661347690553925,0.0,0.8097853277280659,0.9445297522749656,0.0062810026853554,0.0062810026853554,0.0061969240451391,0.6966,results/hopper_dropout_masked_p_0.30_seed1,0.180792632002138,0.08277761320176935,0.1032335603869566,0.9999961959609484,0.1757501445173266,1.0,0.0,0.0,0.8172
dropout_hold_p_0.10,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_dropout_hold_p_0.10_seed0/policy.zip,0,5,5.0,dropout,0.0,0.1,hold,False,0.0,0,none,squared,0.05,5000,0.9999980263808532,0.0,0.9999965518477392,0.0,0.8031912383592191,0.8031479062777811,0.0066158100838907,0.0066179649697813,0.0066430424603713,0.8983,results/hopper_dropout_hold_p_0.10_seed0,0.17935454595495792,0.17938152627538467,0.0811246079114089,0.9999921317717372,0.0811246079114089,0.9999921317717372,0.0,0.008,0.3624
jitter_sigma_0.05,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_jitter_sigma_0.05_seed1/policy.zip,1,5,5.0,jitter,0.05,0.0,hold,False,0.0,0,none,squared,0.05,5000,0.878720664082691,0.0,0.8353174216325538,0.0,0.8210213810630143,0.7465859854297956,0.005504359271507,0.0080162453406373,0.0080162453438388,1.0,results/hopper_jitter_sigma_0.05_seed1,0.15080021402956129,0.15388756080768579,0.2026126703626411,0.9999909446581384,0.1440353338246433,0.979671572794259,0.0,0.0,0.1382
dropout_hold_p_0.30,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_dropout_hold_p_0.30_seed0/policy.zip,0,5,5.0,dropout,0.0,0.3,hold,False,0.0,0,none,squared,0.05,5000,0.9999910577450536,0.0,0.99998732377512,0.0,0.8059311175756566,0.8057963579891121,0.0064802534464053,0.0064868063330604,0.006418287824155,0.70755,results/hopper_dropout_hold_p_0.30_seed0,0.17588431150657305,0.17601182786814182,0.0856400932796106,0.9999911210786334,0.0856404250758303,0.999999293192624,0.0,0.0064,0.371
dropout_zero_p_0.30,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_dropout_zero_p_0.30_seed2/policy.zip,2,5,5.0,dropout,0.0,0.3,zero,False,0.0,0,none,squared,0.05,5000,0.1990447583488382,7.5535675978777e-46,0.2092151041694507,1.426626049934442e-50,0.7905582016999526,0.3682971724079198,0.0068192957396466,0.0893676838883373,0.0069148294951658,0.69835,results/hopper_dropout_zero_p_0.30_seed2,0.1729233556729058,0.3891053590375334,0.1176719360793546,0.9998279110538256,4.550897201822316e-06,0.9988022520393444,0.5086,0.5096,0.1088
bias_feet_0.05,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_bias_feet_0.05_seed0/policy.zip,0,5,5.0,bias,0.0,0.0,hold,False,0.05,0,feet,squared,0.05,5000,0.9095325252441748,0.0,0.8471145266209192,0.0,0.8077216952529339,0.7995715400288055,0.0062791131999246,0.0069552181294217,0.0069552181283725,1.0,results/hopper_bias_feet_0.05_seed0,0.171093998677221,0.19395958215649406,0.1115708254342333,0.9999929766848872,0.0718799636097045,0.9976818454104468,0.0,0.012,0.388
dropout_hold_p_0.30,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_dropout_hold_p_0.30_seed1/policy.zip,1,5,5.0,dropout,0.0,0.3,hold,False,0.0,0,none,squared,0.05,5000,0.9999896470706872,0.0,0.999975078399003,0.0,0.8117982464862442,0.8116408644469071,0.0061330070396872,0.0061416438921584,0.0060472801939554,0.6966,results/hopper_dropout_hold_p_0.30_seed1,0.16830435241790687,0.1684776166412291,0.1003407875588106,0.9999931219767928,0.0987538077568316,0.9999931219767928,0.0,0.0004,0.3834
jitter_sigma_0.05,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_jitter_sigma_0.05_seed0/policy.zip,0,5,5.0,jitter,0.05,0.0,hold,False,0.0,0,none,squared,0.05,1377,0.9581658155997071,0.0,0.934045116173178,0.0,0.6595897945103998,0.6008943699911163,0.0146506411515628,0.0171988740784556,0.0171988741009862,1.0,results/hopper_jitter_sigma_0.05_seed0,0.2773533213179162,0.25940538060345253,0.0121849248547502,0.9999909446581384,0.0079534974248504,0.9766201264195792,0.023965141612200435,0.04647785039941903,0.07625272331154684
bias_feet_0.05,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_bias_feet_0.05_seed1/policy.zip,1,5,5.0,bias,0.0,0.0,hold,False,0.05,0,feet,squared,0.05,5000,0.8776002256200558,0.0,0.8270776415068055,0.0,0.8080049871672058,0.8154939890590306,0.0060629064191378,0.0059922843287989,0.0059922843221575,1.0,results/hopper_bias_feet_0.05_seed1,0.16275540712011258,0.166145970915943,0.1647285360771472,0.9999909446581384,0.1100111006672783,0.9880409707447952,0.0,0.0,0.3904
