condition,n,pearson_mean,pearson_sd,spearman_mean,spearman_sd,mean_clean_reward,mean_noisy_reward,mean_visibility_frac
bias_feet_0.05,3,0.8861469471068876,0.02049540655465778,0.8348227799420344,0.010764428742855311,0.8085992371725718,0.8098985030943083,1.0
bias_feet_0.10,3,0.687858733550126,0.1499137422148156,0.5618065841716676,0.18897661202771293,0.7742960734048946,0.7357297990860117,1.0
clean,3,0.9999999999999997,2.220446049250313e-16,1.0,0.0,0.7586289738693432,0.7586289738693432,1.0
dropout_hold_p_0.10,3,0.9999967181240547,1.524149883890644e-06,0.9999948270235549,2.2225670259355744e-06,0.7967705100098167,0.7967175390917475,0.8979499999999999
dropout_hold_p_0.30,3,0.9999851455459717,9.04608937807968e-06,0.9999786387346729,7.5620273969336535e-06,0.8121779157583439,0.8120229914109006,0.7008333333333333
dropout_masked_p_0.30,3,0.7876925314536035,0.014849975686963357,0.6481724323154502,0.017121571103684428,0.8043266145614091,0.9425874196321476,0.7008333333333333
dropout_zero_p_0.30,3,0.20056649599490137,0.021357309325865725,0.23172988906885603,0.03396114993011398,0.8043377623721124,0.37599177590904026,0.7008333333333333
jitter_sigma_0.05,3,0.9112187778701019,0.04164686755574664,0.8659654502730282,0.05905620219995231,0.7609453703498068,0.6930042994517213,1.0
jitter_sigma_0.10,3,0.7033624550983744,0.11026171824201086,0.6306401366703117,0.1514043436670523,0.733543851279828,0.5147267459435755,1.0
