condition,n,pose_return_mean,pose_return_sd,env_return_mean,env_return_sd,keypoint_mse_mean,keypoint_mse_sd,length_mean,length_sd,n_alignment,pearson_mean,pearson_sd,spearman_mean,spearman_sd,mean_clean_reward,mean_noisy_reward,mean_visibility_frac
bias_feet_0.05,3,124.79295582112623,24.61723680004079,232.65748878517797,30.983429089336514,0.0073573777722549,0.006016695290974873,159.0,0.0,3,0.993455784456967,0.001918434877667335,0.9710924997116184,0.029539624455205367,0.7924574698134133,0.7395587115518353,1.0
jitter_sigma_0.05,3,112.23985865841807,27.464506540031575,202.94483715933742,55.185874577326295,0.014717172649593567,0.011916817163190369,159.0,0.0,3,0.9485412066190233,0.03899683474259049,0.8245749763343913,0.09778780206930804,0.7050451906888368,0.5969736804717273,1.0
clean,3,100.85184662398304,1.4655932430856067,187.7968181864389,9.520850206378713,0.017793842757334366,0.0024147937505619973,159.0,0.0,3,1.0,0.0,1.0,0.0,0.6256771312759889,0.6256771312759889,1.0
dropout_hold_p_0.30,3,101.68862172272992,9.511773320327423,183.40981901464457,13.313326125899001,0.017919671947009067,0.005571489973857632,159.0,0.0,3,0.9998946145687553,0.0001509365135739237,0.9989569538677657,0.0010469954015938723,0.6551791325540863,0.6549859174206881,0.6988319996455431
dropout_masked_p_0.30,3,99.90910589597867,3.2707755427696963,177.20715714071108,4.46956846137414,0.0191652213200131,0.0011951287614041727,159.0,0.0,3,0.8785493554619643,0.013751250042577193,0.8914707084206738,0.027114178937541877,0.6458028463336043,0.8780096092784554,0.6988319996455431
dropout_hold_p_0.10,3,97.27618202093925,13.509744796016584,171.5730365999062,36.828226079206935,0.023166775166825967,0.015271283697280475,159.0,0.0,3,0.9999880341816872,1.586133679268021e-05,0.9998847508139369,7.512783511982328e-05,0.6200388276833538,0.6199125581362753,0.9004492421320149
jitter_sigma_0.10,3,91.17739704292997,5.957609763916604,165.55837219656746,0.3013383132898975,0.0249981837709588,0.002285836005778103,159.0,0.0,3,0.857226666373852,0.009662826839282055,0.8003523550614311,0.002213681616008914,0.5767696636127781,0.3028983096655414,1.0
dropout_zero_p_0.30,3,92.03843407177867,10.412641143683548,156.64909092429224,29.119698527461615,0.029531033664250566,0.01393698842491324,159.0,0.0,3,0.28895910389488627,0.015147131858664328,0.3589786376235851,0.059760345662215296,0.5809270310645314,0.12494849976408873,0.6988319996455431
bias_feet_0.10,3,97.40149698606298,31.0813481637148,164.37161575161326,63.95824594130187,0.02972219958157943,0.03157339656129738,159.0,0.0,3,0.9847077699290585,0.0009113656853893094,0.9665541502889976,0.037716176351717874,0.6283887946428158,0.5269517917923237,1.0
