condition,n,pearson_mean,spearman_mean,mean_clean_reward,mean_noisy_reward,noisy_reward_std,noisy_reward_min,noisy_reward_max,frac_noisy_reward_lt_0_05,frac_noisy_reward_lt_0_10,frac_noisy_reward_gt_0_90,mean_visibility_frac
bias_feet_0.05,6,0.9398013657819272,0.9029576398268263,0.8005283534929926,0.7747286073230718,0.21478501164368632,0.05393133412135411,0.9874764372434214,0.020335429769392035,0.03135010482180294,0.38768176100628926,1.0
bias_feet_0.10,6,0.8362832517395923,0.7641803672303326,0.7013424340238551,0.6313407954391677,0.258214222617406,0.025567718138401706,0.9467174264781946,0.10438829187750705,0.13414583928137355,0.17024939916965798,1.0
clean,6,0.9999999999999999,1.0,0.6921530525726661,0.6921530525726661,0.2801404945660918,0.023765772201895824,0.999408816478142,0.07686814879021797,0.09487202177235404,0.3030452936405437,1.0
dropout_hold_p_0.10,6,0.9999923761528708,0.9999397889187458,0.7084046688465854,0.7083150486140114,0.2661433186358975,0.05752915356244481,0.9995944788645571,0.07672955974842767,0.0939958071278826,0.31748280922431865,0.8991996210660075
dropout_hold_p_0.30,6,0.9999398800573635,0.9994677963012193,0.733678524156215,0.7335044544157944,0.25536300546530827,0.0632895893906739,0.9993854009922337,0.06477987421383648,0.08016897274633124,0.3307383647798742,0.6998326664894382
dropout_masked_p_0.30,6,0.833120943457784,0.769821570368062,0.7250647304475067,0.9102985144553015,0.13797749295451076,0.1721037585834381,0.9999973232366255,0.00020964360587002095,0.0004192872117400419,0.7720264150943397,0.6998326664894382
dropout_zero_p_0.30,6,0.2447627999448938,0.29535426334622056,0.6926323967183219,0.25047013783656447,0.3358645688299217,2.249620193847501e-06,0.9980632338672116,0.6636427672955975,0.6660725366876311,0.07399706498951782,0.6998326664894382
jitter_sigma_0.05,6,0.9298799922445625,0.8452702133037097,0.7329952805193218,0.6449889899617243,0.2199895173185492,0.052969073831267914,0.960113107028839,0.053679724859895035,0.06595532307495558,0.06992681656869597,1.0
jitter_sigma_0.10,6,0.7802945607361131,0.7154962458658715,0.6551567574463032,0.40881252780455846,0.2047034962606784,0.012562968214684701,0.8757063176411807,0.11062284782536357,0.1395703726246027,0.003437224782386073,1.0
