env_group,condition,n,pose_return_mean,pose_return_sd,env_return_mean,env_return_sd,keypoint_mse_mean,keypoint_mse_sd,length_mean,length_sd,n_alignment,pearson_mean,pearson_sd,spearman_mean,spearman_sd,mean_clean_reward,mean_noisy_reward,mean_visibility_frac
hopper,compound_zero_moderate,3,783.1548107778763,18.769004502367284,1047.1160518974173,5.745029412310867,0.0070065187984741,0.0007264181469067,1000.0,0.0,3,0.16916951869152475,0.010991475823616176,0.15760633026497697,0.008631664810628034,0.7823459344055964,0.3465606518411913,0.6987833333333334
hopper,compound_masked_moderate,3,666.0995612172045,199.2379295301314,903.449774858364,250.09303574174064,0.0075462764018593,0.0009279197030885,854.8000000000001,251.493777259001,3,0.6750857372411826,0.059340780535047294,0.49523788750257586,0.050226218409957994,0.7752920155769552,0.9103672759739615,0.6986965289725715
walker2d,compound_zero_moderate,3,105.3676862688057,17.308801637672993,188.46828060467564,43.9270261643224,0.0178320741024868,0.0110082876682988,159.0,0.0,3,0.2724584363638913,0.035081244001717415,0.32110676156951923,0.06102189584840064,0.6307692896188754,0.11385325069071517,0.7014076210480317
walker2d,compound_masked_moderate,3,88.2860799845714,8.636202388400413,160.5357635347896,9.943875912522362,0.0266504205224003,0.0048033795222475,159.0,0.0,3,0.8677430696540332,0.009681217753765573,0.8909777090703584,0.014833049684517634,0.554458125545657,0.792345665728721,0.7014076210480317
