condition,steps200k_pose_return_mean,steps500k_pose_return_mean,steps200k_keypoint_mse_mean,steps500k_keypoint_mse_mean,steps200k_length_mean,steps500k_length_mean
bias_feet_0.10,38.77355829627368,72.3122703589175,0.1343674807449334,0.0581542162743908,314.2,339.46666666666664
dropout_masked_p_0.30,64.110457168196,138.92687251463275,0.0675804266786396,0.0581589587698453,433.3333333333333,614.2666666666667
jitter_sigma_0.10,59.737368574487185,60.71331981949345,0.101252745486123,0.0615805184878651,476.26666666666665,321.2
clean,46.39713818895594,59.52349623444613,0.0991720069088111,0.0660638349712558,309.8,299.46666666666664
dropout_zero_p_0.30,47.259380185677976,48.52328381039163,0.1341091306148374,0.125732200023526,381.8666666666666,265.26666666666665
