episode,t,clean_reward,noisy_reward,env_reward,clean_keypoint_mse,noisy_keypoint_mse,masked_noisy_keypoint_mse,visibility_frac
0,0,0.999378105847007,0.9364673942381379,1.1462289811611406,8.886965588317253e-06,0.0009377225069329143,0.0009377225069329143,1.0
0,1,0.9986126607657416,0.82685831504711,1.129178398340366,1.9832894395221956e-05,0.0027160272002220154,0.002716027433052659,1.0
0,2,0.9991016591300637,0.8217231321534748,1.0492506759787568,1.2839208466175478e-05,0.0028050250839442015,0.0028050250839442015,1.0
0,3,0.9997132599760137,0.9285737022993332,1.0406090312467107,4.096873453818262e-06,0.0010586503194645047,0.0010586503194645047,1.0
0,4,0.9997635756647029,0.9037978365043658,1.0346953021965433,3.3778899251046823e-06,0.0014449937734752893,0.0014449938898906112,1.0
0,5,0.9982462156334176,0.864026357221852,1.0316843475533637,2.507606041035615e-05,0.002087885979562998,0.002087885746732354,1.0
0,6,0.9938351417968306,0.8864980327947459,1.0264752514962954,8.834199979901314e-05,0.001721090986393392,0.001721090986393392,1.0
0,7,0.9848979727533475,0.8507583751061784,1.029678398556067,0.00021738889336120337,0.0023089589085429907,0.0023089589085429907,1.0
0,8,0.969774110571655,0.7010009809844563,1.0257603267845365,0.0004384587227832526,0.005074942018836737,0.005074942950159311,1.0
0,9,0.9480694795833923,0.8221857725839914,1.025008339024258,0.0007618213421665132,0.0027969847433269024,0.0027969845104962587,1.0
0,10,0.9373769812951213,0.8149153436955373,1.0226813593817499,0.0009238535421900451,0.0029238720890134573,0.0029238720890134573,1.0
0,11,0.9373777626307543,0.7580447864104193,1.0226614699065073,0.0009238416678272188,0.003957325592637062,0.003957326058298349,1.0
0,12,0.9406307616364786,0.8399514386163375,1.0414305074492303,0.0008743515936657786,0.002491588471457362,0.002491588471457362,1.0
0,13,0.9443960990231519,0.6113585553034131,1.047109658199728,0.0008172799716703594,0.007029595319181681,0.007029595319181681,1.0
