noise_type,jitter_sigma,n,seeds,pose_return_mean,pose_return_std_across_seeds,env_return_mean,env_return_std_across_seeds,keypoint_mse_mean,keypoint_mse_std_across_seeds,episode_length_mean
clean,0.0,5,"0,1,2",102.95055472134061,4.616432228554071,188.8716052043257,10.396832387363396,0.01661547235603808,0.0034183485515235164,159.0
jitter,0.02,2,0,102.97243233310496,32.06981041279956,178.65986606509756,53.04346312076267,0.02142146956466825,0.02274538466465598,159.0
jitter,0.05,3,"0,1,2",112.23985865841807,27.464506540031575,202.94483715933742,55.185874577326295,0.014717172649593567,0.011916817163190367,159.0
jitter,0.1,3,"0,1,2",91.17739704292997,5.957609763916604,165.55837219656746,0.3013383132898905,0.0249981837709588,0.002285836005778105,159.0
