noise_type,jitter_sigma,dropout_p,dropout_mode,n,seeds,pose_return_mean,pose_return_std_across_seeds,env_return_mean,env_return_std_across_seeds,keypoint_mse_mean,keypoint_mse_std_across_seeds,episode_length_mean
clean,0.0,0.0,none,3,"0,1,2",100.85184662398304,1.4655932430856005,187.7968181864389,9.520850206378727,0.017793842757334366,0.0024147937505619964,159.0
dropout,0.0,0.1,hold,3,"0,1,2",97.27618202093925,13.509744796016584,171.5730365999062,36.828226079206935,0.023166775166825967,0.015271283697280475,159.0
dropout,0.0,0.3,hold,3,"0,1,2",101.68862172272992,9.511773320327423,183.40981901464457,13.313326125899001,0.017919671947009067,0.005571489973857633,159.0
jitter,0.02,0.0,none,1,0,125.6492127473625,,216.16725853540737,,0.0053380538275935,,159.0
jitter,0.05,0.0,none,3,"0,1,2",112.23985865841807,27.464506540031575,202.94483715933742,55.185874577326295,0.014717172649593567,0.011916817163190367,159.0
jitter,0.1,0.0,none,3,"0,1,2",91.17739704292997,5.957609763916604,165.55837219656746,0.3013383132898905,0.0249981837709588,0.002285836005778105,159.0
